departamento,anio,franja_horaria,siniestros
ANCASH,2016,18:01 A 20:00,71
ANCASH,2016,20:01 A 22:00,165
ANCASH,2016,22:01 A 24:00,85
ANCASH,2017,00:01 A 02:00,116
ANCASH,2017,02:01 A 04:00,109
ANCASH,2017,04:01 A 06:00,168
ANCASH,2017,06:01 A 08:00,140
ANCASH,2017,08:01 A 10:00,215
ANCASH,2017,10:01 A 12:00,146
ANCASH,2017,12:01 A 14:00,133
ANCASH,2017,14:01 A 16:00,231
ANCASH,2017,16:01 A 18:00,179
ANCASH,2017,18:01 A 20:00,178
ANCASH,2017,20:01 A 22:00,216
ANCASH,2017,22:01 A 24:00,142
ANCASH,2018,00:01 A 02:00,58
ANCASH,2018,02:01 A 04:00,83
ANCASH,2018,04:01 A 06:00,125
ANCASH,2018,06:01 A 08:00,160
ANCASH,2018,08:01 A 10:00,216
ANCASH,2018,10:01 A 12:00,210
ANCASH,2018,12:01 A 14:00,208
ANCASH,2018,14:01 A 16:00,192
ANCASH,2018,16:01 A 18:00,234
ANCASH,2018,18:01 A 20:00,258
ANCASH,2018,20:01 A 22:00,195
ANCASH,2018,22:01 A 24:00,122
ANCASH,2019,00:01 A 02:00,136
ANCASH,2019,02:01 A 04:00,95
ANCASH,2019,04:01 A 06:00,195
ANCASH,2019,06:01 A 08:00,201
ANCASH,2019,08:01 A 10:00,205
ANCASH,2019,10:01 A 12:00,207
ANCASH,2019,12:01 A 14:00,209
ANCASH,2019,14:01 A 16:00,232
ANCASH,2019,16:01 A 18:00,194
ANCASH,2019,18:01 A 20:00,240
ANCASH,2019,20:01 A 22:00,226
ANCASH,2019,22:01 A 24:00,189
ANCASH,2020,00:01 A 02:00,48
ANCASH,2020,02:01 A 04:00,21
ANCASH,2020,04:01 A 06:00,75
ANCASH,2020,06:01 A 08:00,166
ANCASH,2020,08:01 A 10:00,131
ANCASH,2020,10:01 A 12:00,149
ANCASH,2020,12:01 A 14:00,141
ANCASH,2020,14:01 A 16:00,107
ANCASH,2020,16:01 A 18:00,121
ANCASH,2020,18:01 A 20:00,110
ANCASH,2020,20:01 A 22:00,131
ANCASH,2020,22:01 A 24:00,79
ANCASH,2021,00:01 A 02:00,69
ANCASH,2021,02:01 A 04:00,72
ANCASH,2021,04:01 A 06:00,130
ANCASH,2021,06:01 A 08:00,140
ANCASH,2021,08:01 A 10:00,185
ANCASH,2021,10:01 A 12:00,200
ANCASH,2021,12:01 A 14:00,206
ANCASH,2021,14:01 A 16:00,214
ANCASH,2021,16:01 A 18:00,255
ANCASH,2021,18:01 A 20:00,252
ANCASH,2021,20:01 A 22:00,216
ANCASH,2021,22:01 A 24:00,157
ANCASH,2022,00:01 A 02:00,104
ANCASH,2022,02:01 A 04:00,137
ANCASH,2022,04:01 A 06:00,184
ANCASH,2022,06:01 A 08:00,203
ANCASH,2022,08:01 A 10:00,196
ANCASH,2022,10:01 A 12:00,209
ANCASH,2022,12:01 A 14:00,222
ANCASH,2022,14:01 A 16:00,224
ANCASH,2022,16:01 A 18:00,254
ANCASH,2022,18:01 A 20:00,288
ANCASH,2022,20:01 A 22:00,245
ANCASH,2022,22:01 A 24:00,187
ANCASH,2023,00:01 A 02:00,98
ANCASH,2023,02:01 A 04:00,80
ANCASH,2023,04:01 A 06:00,132
ANCASH,2023,06:01 A 08:00,175
ANCASH,2023,08:01 A 10:00,220
ANCASH,2023,10:01 A 12:00,205
ANCASH,2023,12:01 A 14:00,205
ANCASH,2023,14:01 A 16:00,215
ANCASH,2023,16:01 A 18:00,315
ANCASH,2023,18:01 A 20:00,364
ANCASH,2023,20:01 A 22:00,295
ANCASH,2023,22:01 A 24:00,253
ANCASH,2024,00:01 A 02:00,101
ANCASH,2024,02:01 A 04:00,122
ANCASH,2024,04:01 A 06:00,182
ANCASH,2024,06:01 A 08:00,199
ANCASH,2024,08:01 A 10:00,164
ANCASH,2024,10:01 A 12:00,185
ANCASH,2024,12:01 A 14:00,177
ANCASH,2024,14:01 A 16:00,176
ANCASH,2024,16:01 A 18:00,254
ANCASH,2024,18:01 A 20:00,264
ANCASH,2024,20:01 A 22:00,234
ANCASH,2024,22:01 A 24:00,160
APURIMAC,2008,08:00 A 14:00,69
APURIMAC,2008,14:00 A 20:00,37
APURIMAC,2008,20:00 A 02:00,45
APURIMAC,2008,02:00 A 08:00,32
APURIMAC,2009,08:00 A 14:00,80
APURIMAC,2009,14:00 A 20:00,156
APURIMAC,2009,20:00 A 02:00,110
APURIMAC,2009,02:00 A 08:00,82
APURIMAC,2010,08:00 A 14:00,55
APURIMAC,2010,14:00 A 20:00,30
APURIMAC,2010,20:00 A 02:00,23
APURIMAC,2010,02:00 A 08:00,23
APURIMAC,2011,08:00 A 14:00,48
APURIMAC,2011,14:00 A 20:00,72
APURIMAC,2011,20:00 A 02:00,37
APURIMAC,2011,02:00 A 08:00,28
APURIMAC,2012,08:00 A 14:00,186
APURIMAC,2012,14:00 A 20:00,199
APURIMAC,2012,20:00 A 02:00,103
APURIMAC,2012,02:00 A 08:00,128
APURIMAC,2013,08:00 A 14:00,153
APURIMAC,2013,14:00 A 20:00,180
APURIMAC,2013,20:00 A 02:00,109
